name,datetime,type,size,count_total,count_filtered
20211201/20211201205200.json.gz,2023-05-04 10:37:17,extraction,1389570,2153.0,3.0
20211201/20211201204700.json.gz,2023-05-04 10:37:18,extraction,1371128,2139.0,4.0
20211201/20211201205800.json.gz,2023-05-04 10:37:18,extraction,1509806,2393.0,3.0
20211201/20211201204600.json.gz,2023-05-04 10:37:19,extraction,1501743,2319.0,6.0
20211201/20211201203800.json.gz,2023-05-04 10:37:20,extraction,1634483,2560.0,7.0
20211201/20211201204300.json.gz,2023-05-04 10:37:20,extraction,1382217,2255.0,4.0
20211201/20211201204900.json.gz,2023-05-04 10:37:21,extraction,1506222,2323.0,4.0
20211201/20211201203900.json.gz,2023-05-04 10:37:21,extraction,1495416,2294.0,3.0
20211201/20211201203200.json.gz,2023-05-04 10:37:22,extraction,1512676,2412.0,7.0
20211201/20211201204000.json.gz,2023-05-04 10:37:22,extraction,1494219,2334.0,5.0
20211201/20211201203100.json.gz,2023-05-04 10:37:23,extraction,1508072,2331.0,3.0
20211201/20211201202800.json.gz,2023-05-04 10:37:23,extraction,1397414,2219.0,2.0
20211201/20211201202700.json.gz,2023-05-04 10:37:24,extraction,1504861,2370.0,0.0
20211201/20211201202300.json.gz,2023-05-04 10:37:24,extraction,1509531,2321.0,1.0
20211201/20211201201600.json.gz,2023-05-04 10:37:25,extraction,1356410,2082.0,6.0
20211201/20211201203400.json.gz,2023-05-04 10:37:25,extraction,1380315,2170.0,5.0
20211201/20211201203600.json.gz,2023-05-04 10:37:25,extraction,1508758,2391.0,4.0
20211201/20211201202900.json.gz,2023-05-04 10:37:26,extraction,1386227,2153.0,5.0
20211201/20211201202400.json.gz,2023-05-04 10:37:26,extraction,1382326,2135.0,7.0
20211201/20211201203000.json.gz,2023-05-04 10:37:27,extraction,1527969,2407.0,7.0
20211201/20211201202000.json.gz,2023-05-04 10:37:27,extraction,1495693,2352.0,0.0
20211201/20211201202600.json.gz,2023-05-04 10:37:28,extraction,1497771,2352.0,7.0
20211201/20211201201900.json.gz,2023-05-04 10:37:28,extraction,1371459,2121.0,3.0
20211201/20211201202200.json.gz,2023-05-04 10:37:29,extraction,1376718,2136.0,5.0
20211201/20211201202100.json.gz,2023-05-04 10:37:29,extraction,1500239,2324.0,8.0
20211201/20211201202500.json.gz,2023-05-04 10:37:30,extraction,1490503,2309.0,2.0
20211201/20211201201800.json.gz,2023-05-04 10:37:30,extraction,1490129,2332.0,3.0
20211201/20211201201700.json.gz,2023-05-04 10:37:31,extraction,1506820,2314.0,5.0
20211201/20211201201300.json.gz,2023-05-04 10:37:32,extraction,1386246,2196.0,1.0
20211201/20211201201100.json.gz,2023-05-04 10:37:32,extraction,1511297,2329.0,5.0
20211201/20211201201400.json.gz,2023-05-04 10:37:33,extraction,1503094,2310.0,7.0
20211201/20211201201500.json.gz,2023-05-04 10:37:34,extraction,1384545,2138.0,4.0
20211201/20211201201000.json.gz,2023-05-04 10:37:34,extraction,1393362,2150.0,5.0
20211201/20211201201200.json.gz,2023-05-04 10:37:35,extraction,1512684,2337.0,4.0
20211201/20211201200800.json.gz,2023-05-04 10:37:35,extraction,1518016,2358.0,7.0
20211201/20211201200900.json.gz,2023-05-04 10:37:36,extraction,1503427,2324.0,9.0
20211201/20211201200600.json.gz,2023-05-04 10:37:36,extraction,1376489,2107.0,0.0
20211201/20211201200700.json.gz,2023-05-04 10:37:37,extraction,1505529,2292.0,11.0
20211201/20211201203300.json.gz,2023-05-04 10:37:37,extraction,1504626,2378.0,3.0
20211201/20211201200500.json.gz,2023-05-04 10:37:38,extraction,1630295,2525.0,7.0
20211201/20211201200100.json.gz,2023-05-04 10:37:38,extraction,1507988,2336.0,7.0
20211201/20211201200300.json.gz,2023-05-04 10:37:39,extraction,1499996,2289.0,0.0
20211201/20211201200200.json.gz,2023-05-04 10:37:39,extraction,1631616,2505.0,7.0
20211201/20211201200400.json.gz,2023-05-04 10:37:40,extraction,1392526,2148.0,5.0
20211201/20211201200000.json.gz,2023-05-04 10:37:40,extraction,1651364,2615.0,5.0
20211201/20211201195800.json.gz,2023-05-04 10:37:41,extraction,1498374,2389.0,6.0
20211201/20211201195700.json.gz,2023-05-04 10:37:41,extraction,1504115,2328.0,7.0
20211201/20211201195600.json.gz,2023-05-04 10:37:42,extraction,1378406,2176.0,8.0
20211201/20211201195300.json.gz,2023-05-04 10:37:42,extraction,1635830,2463.0,2.0
20211201/20211201195900.json.gz,2023-05-04 10:37:43,extraction,1493762,2284.0,4.0
20211201/20211201195500.json.gz,2023-05-04 10:37:43,extraction,1502633,2329.0,2.0
20211201/20211201195100.json.gz,2023-05-04 10:37:44,extraction,1496854,2315.0,12.0
20211201/20211201195400.json.gz,2023-05-04 10:37:44,extraction,1497301,2309.0,4.0
20211201/20211201195200.json.gz,2023-05-04 10:37:45,extraction,1378192,2090.0,3.0
20211201/20211201194900.json.gz,2023-05-04 10:37:45,extraction,1624943,2464.0,6.0
20211201/20211201194800.json.gz,2023-05-04 10:37:46,extraction,1505981,2341.0,0.0
20211201/20211201194400.json.gz,2023-05-04 10:37:47,extraction,1492578,2321.0,5.0
20211201/20211201194500.json.gz,2023-05-04 10:37:47,extraction,1504050,2324.0,7.0
20211201/20211201194600.json.gz,2023-05-04 10:37:48,extraction,1622348,2478.0,5.0
20211201/20211201195000.json.gz,2023-05-04 10:37:49,extraction,1501367,2290.0,6.0
20211201/20211201194200.json.gz,2023-05-04 10:37:49,extraction,1501763,2290.0,4.0
20211201/20211201194700.json.gz,2023-05-04 10:37:50,extraction,1376704,2099.0,1.0
20211201/20211201194300.json.gz,2023-05-04 10:37:50,extraction,1498587,2309.0,5.0
20211201/20211201194000.json.gz,2023-05-04 10:37:51,extraction,1623847,2467.0,3.0
20211201/20211201193700.json.gz,2023-05-04 10:37:51,extraction,1499525,2289.0,7.0
20211201/20211201193500.json.gz,2023-05-04 10:37:52,extraction,1378602,2138.0,3.0
20211201/20211201192800.json.gz,2023-05-04 10:37:52,extraction,1509987,2313.0,6.0
20211201/20211201193600.json.gz,2023-05-04 10:37:52,extraction,1609967,2455.0,2.0
20211201/20211201194100.json.gz,2023-05-04 10:37:53,extraction,1368954,2112.0,2.0
20211201/20211201193900.json.gz,2023-05-04 10:37:53,extraction,1498475,2312.0,7.0
20211201/20211201193800.json.gz,2023-05-04 10:37:54,extraction,1496795,2327.0,5.0
20211201/20211201192700.json.gz,2023-05-04 10:37:54,extraction,1495077,2266.0,5.0
20211201/20211201191200.json.gz,2023-05-04 10:37:55,extraction,1607673,2458.0,6.0
20211201/20211201193100.json.gz,2023-05-04 10:37:56,extraction,1506231,2298.0,6.0
20211201/20211201193400.json.gz,2023-05-04 10:37:56,extraction,1506384,2309.0,3.0
20211201/20211201192600.json.gz,2023-05-04 10:37:56,extraction,1491041,2288.0,6.0
20211201/20211201192400.json.gz,2023-05-04 10:37:57,extraction,1622987,2415.0,3.0
20211201/20211201193300.json.gz,2023-05-04 10:37:57,extraction,1631803,2535.0,6.0
20211201/20211201192300.json.gz,2023-05-04 10:37:58,extraction,1502137,2278.0,4.0
20211201/20211201191900.json.gz,2023-05-04 10:37:59,extraction,1495989,2251.0,5.0
20211201/20211201193200.json.gz,2023-05-04 10:37:59,extraction,1492251,2298.0,10.0
20211201/20211201193000.json.gz,2023-05-04 10:38:00,extraction,1514500,2335.0,6.0
20211201/20211201192900.json.gz,2023-05-04 10:38:01,extraction,1504053,2301.0,2.0
20211201/20211201191400.json.gz,2023-05-04 10:38:01,extraction,1616808,2443.0,5.0
20211201/20211201190900.json.gz,2023-05-04 10:38:02,extraction,1503765,2315.0,5.0
20211201/20211201192200.json.gz,2023-05-04 10:38:03,extraction,1618603,2464.0,7.0
20211201/20211201192000.json.gz,2023-05-04 10:38:03,extraction,1509413,2286.0,4.0
20211201/20211201191600.json.gz,2023-05-04 10:38:04,extraction,1496367,2276.0,3.0
20211201/20211201191500.json.gz,2023-05-04 10:38:04,extraction,1369305,2094.0,2.0
20211201/20211201192500.json.gz,2023-05-04 10:38:05,extraction,1492850,2263.0,3.0
20211201/20211201191300.json.gz,2023-05-04 10:38:05,extraction,1504266,2350.0,3.0
20211201/20211201191000.json.gz,2023-05-04 10:38:06,extraction,1624517,2449.0,4.0
20211201/20211201191800.json.gz,2023-05-04 10:38:06,extraction,1512015,2337.0,3.0
20211201/20211201185900.json.gz,2023-05-04 10:38:07,extraction,1501553,2333.0,4.0
20211201/20211201192100.json.gz,2023-05-04 10:38:07,extraction,1508051,2266.0,7.0
20211201/20211201191700.json.gz,2023-05-04 10:38:07,extraction,1610258,2394.0,4.0
20211201/20211201190700.json.gz,2023-05-04 10:38:08,extraction,1503578,2285.0,5.0
20211201/20211201191100.json.gz,2023-05-04 10:38:08,extraction,1486286,2281.0,4.0
20211201/20211201190500.json.gz,2023-05-04 10:38:09,extraction,1614903,2452.0,5.0
20211201/20211201190200.json.gz,2023-05-04 10:38:10,extraction,1622568,2434.0,3.0
20211201/20211201190300.json.gz,2023-05-04 10:38:10,extraction,1624177,2472.0,3.0
20211201/20211201190600.json.gz,2023-05-04 10:38:11,extraction,1624757,2454.0,6.0
20211201/20211201190800.json.gz,2023-05-04 10:38:11,extraction,1509437,2334.0,4.0
20211201/20211201190400.json.gz,2023-05-04 10:38:12,extraction,1493726,2302.0,5.0
20211201/20211201190100.json.gz,2023-05-04 10:38:12,extraction,1626136,2500.0,7.0
20211201/20211201185300.json.gz,2023-05-04 10:38:13,extraction,1620305,2485.0,3.0
20211201/20211201185800.json.gz,2023-05-04 10:38:13,extraction,1507281,2317.0,5.0
20211201/20211201183900.json.gz,2023-05-04 10:38:14,extraction,1630700,2495.0,4.0
20211201/20211201185500.json.gz,2023-05-04 10:38:15,extraction,1626878,2485.0,6.0
20211201/20211201184900.json.gz,2023-05-04 10:38:16,extraction,1618837,2493.0,6.0
20211201/20211201190000.json.gz,2023-05-04 10:38:16,extraction,1772088,2716.0,0.0
20211201/20211201185600.json.gz,2023-05-04 10:38:17,extraction,1622609,2413.0,4.0
